"code_site";"code_station";"date_obs_elab";"resultat_obs_elab";"date_prod";"code_statut";"libelle_statut";"code_methode";"libelle_methode";"code_qualification";"libelle_qualification";"longitude";"latitude";"grandeur_hydro_elab"
"F7000001";"F700000103";"2023-08-16";"149799.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-08-17";"145226.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-08-18";"143908.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-08-19";"142411.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-08-20";"145603.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-08-21";"150040.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-08-22";"148128.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-08-23";"140777.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-08-24";"138744.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-08-25";"136413.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-08-26";"135090.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-08-27";"136481.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-08-28";"136702.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-08-29";"127551.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-08-30";"127615.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-08-31";"130032.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-09-01";"124770.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-09-02";"124946.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-09-03";"124552.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-09-04";"121174.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-09-05";"119308.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-09-06";"112132.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-09-07";"112576.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-09-08";"108064.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-09-09";"107101.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-09-10";"105498.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-09-11";"110227.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-09-12";"123043.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-09-13";"128717.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
"F7000001";"F700000103";"2023-09-14";"119023.0";"2025-04-24T14:09:01Z";"16";"Donnée validée";"10";"Expertisée";"20";"Bonne";"2.3655106354242985";"48.84468961972986";"QmnJ"
